Feature Inherited_feature
phone NONE
work upgrade
customerservice service
customerservice service
signalquality service
speakerphone sound
speakerphone sound
infrared NONE
sprint NONE
sprint NONE
sprintplan NONE
sprintplan NONE
customerservice service
customerservice service
size size
sturdy NONE
game media
reception service
reception service
soundvolume sound
ear NONE
ear NONE
ringtone sound
color design
color design
backlight size
backlight size
button hardware
button hardware
menuoptions feature
menuoptions feature
volume sound
volume sound
volume sound
volume sound
batterylife battery
phone NONE
t-mobilereception service
t-mobilereception service
t-zone NONE
t-zone NONE
customerservice service
customerservice service
t-zone NONE
t-zone NONE
t-mobile NONE
t-mobile NONE
customerrep NONE
csr NONE
call media
call media
sprint NONE
phoneperformance service
nokia NONE
feature overall
speakerphone sound
radio media
battery battery
volume sound
volume sound
ring sound
ring sound
tone sound
tone sound
vibration NONE
vibration NONE
phone NONE
batterylife battery
look media
look media
colorscreen hardware
size size
radio media
radio media
radio media
t-mobile NONE
game media
game media
voicedialing hardware
voicedialing hardware
phone NONE
phone NONE
phone NONE
message NONE
message NONE
soundquality sound
fm media
earpiece media
size size
size size
operate price
operate price
button hardware
button hardware
key hardware
key hardware
speakerphone sound
reception service
camera picture
camera picture
phone NONE
phone NONE
speakerphone sound
speakerphone sound
speakerphone sound
volume sound
speakerphone sound
speakerphone sound
speakerphone sound
speakerphone sound
radio media
radio media
phone NONE
t-mobile NONE
t-mobile NONE
reception service
phone NONE
phone NONE
size size
size size
batterylife battery
battery battery
battery battery
phone NONE
bluetooth feature
bluetooth feature
speedinternet media
speedinternet media
phone NONE
phone NONE
size size
ringingtone sound
speakerphone sound
web media
ringtone sound
ringtone sound
screen hardware
screen hardware
game media
game media
phone NONE
button hardware
button hardware
wirelesstelephone overall
reception service
quality media
size size
size size
layout design
layout design
key hardware
key hardware
screen hardware
picture picture
userinterface design
userinterface design
menuoption feature
menuoption feature
vibratesetting feature
vibratesetting feature
vibratesetting feature
vibratesetting feature
ringer sound
voicedialing hardware
voicedialing hardware
jack NONE
jack NONE
weight size
design design
construction NONE
keypad hardware
reception service
soundquality sound
screen hardware
speakerphone sound
batterylife battery
userinterface design
userinterface design
voicedialing hardware
voicedialing hardware
picture picture
picture picture
ringtone sound
ringtone sound
headsetjack price
headsetjack price
phone NONE
speakerphone sound
quality media
keylock hardware
weight size
screen hardware
ringtone sound
fmradio media
nokia NONE
phone NONE
feature overall
weight size
phone NONE
menu feature
radio media
speakerphone sound
wallpaper NONE
camera picture
camera picture
phone NONE
size size
size size
colorscreen hardware
calendar feature
key hardware
menu feature
batterylife battery
volumekey hardware
volumekey hardware
pccable NONE
pccable NONE
soundquality sound
loudphone overall
size size
radio media
radio media
application NONE
application NONE
software service
software service
phone NONE
phone NONE
phone NONE
batterylife battery
application NONE
pcsuite NONE
soundquality sound
phone NONE
size size
phone NONE
radio media
radio media
speaker sound
phone NONE
phone NONE
phone NONE
size size
volume sound
volume sound
nokia NONE
volume sound
reception service
size size
batterylife battery
colorscreen hardware
phone NONE
phone NONE
sound sound
sound sound
phone NONE
feature overall
weight size
life NONE
speakerphone sound
speakerphone sound
headset price
radio media
pcsync NONE
tone sound
message NONE
sharing sound
mms NONE
phone NONE
size size
use NONE
phonebook service
radio media
voicedialing hardware
voicedialing hardware
key hardware
key hardware
batterylife battery
volumecontrol sound
volumecontrol sound
headphonejack sound
headphonejack sound
phone NONE
phone NONE
screen hardware
screen hardware
batterylife battery
phone NONE
feature overall
size size
phone NONE
phone NONE
phone NONE
look media
defaultringtone sound
defaultringtone sound
phone NONE
t-mobile NONE
phone NONE
phone NONE
phone NONE
service service
phone NONE
phone NONE
feature overall
speakerphone sound
soundquality sound
earpiece media
phone NONE
size size
radio media
design design
weight size
battery battery
phone NONE
internet media
internet media
browsing NONE
game media
game media
batterylife battery
voicedialing hardware
screen hardware
phone NONE
voicequality sound
screen hardware
button hardware
button hardware
key hardware
key hardware
phone NONE
t-mobile NONE
t-mobile NONE
t-mobile NONE
t-mobile NONE
phone NONE
size size
earpiece media
voicedialing hardware
voicedialing hardware
screen hardware
resolution picture
color design
ringtone sound
ring sound
phone NONE
gprs feature
t-zone NONE
t-zone NONE
t-mobileservice service
rateplan price
phone NONE
phone NONE
menu feature
feature overall
menu feature
menu feature
internet media
internet media
phone NONE
feature overall
design design
weight size
soundquality sound
soundquality sound
voice sound
voice sound
phone NONE
soundquality sound
phone NONE
